;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Tradenomi (ylempi AMK), Turvallisuusjohtaminen;51,00;72,25
Voimavaraistavien työtapojen johtaminen ja kehittäminen sosiaali- ja terveysalalla (ylempi AMK);93,00;99,00
Maanpuolustuskorkeakoulu;;
Sotatieteiden maisteri (Viranomaisyhteistyön koulutusohjelma);?;?
Upseerikoulutus - Ilmavoimien koulutusohjelma;83,05;122,80
Upseerikoulutus - Maavoimien koulutusohjelma;83,20;135,00
Upseerikoulutus - Merivoimien koulutusohjelma: Laivasto-opintosuunta;79,50;129,00
Upseerikoulutus - Merivoimien koulutusohjelma: Rannikkojoukko-opintosuunta;103,00;119,80
Metropolia Ammattikorkeakoulu;;
Apuvälineteknikko (AMK), apuvälinetekniikka, päivätoteutus;75,00;393,21
Bachelor of Business Administration, European Business Administration, full-time studies;25,35;151,00
Bachelor of Business Administration, International Business and Logistics, full-time studies;25,80;159,00
Bachelor of Culture and Arts, XR Design, full-time studies;58,00;99,00
Bachelor of Engineering, Automotive Electrics, full-time studies;15,25;75,35
Bachelor of Engineering, Construction Information Technology, full-time studies;24,05;60,55
Bachelor of Engineering, Electronics, full-time studies;19,00;57,45
Bachelor of Engineering, Information Technology, full-time studies;33,15;80,00
Bachelor of Engineering, Smart Automation, full-time studies;20,25;75,35
Bachelor of Health Care, Nursing (aimed at immigrants);98,50;132,10
Bachelor of Health Care, Nursing, full-time studies;35,30;72,30
Bachelor of Laboratory Services, Laboratory Science, full-time studies;37,60;57,20
Bachelor of Social Services, Social Services, full-time studies;49,50;83,00
Bioanalyytikko (AMK), bioanalytiikka, monimuotototeutus;72,00;418,86
Bioanalyytikko (AMK), bioanalytiikka, päivätoteutus;95,00;405,76
Ensihoitaja, (AMK), ensihoito, monimuotototetus;115,00;422,46
Ensihoitaja, (AMK), ensihoito, päivätotetus;139,00;434,69
Fysioterapeutti (AMK), fysioterapia, monimuotototeutus;89,00;422,28
Fysioterapeutti (AMK), fysioterapia, päivätoteutus;101,00;415,98
Geronomi (AMK), vanhustyö, monimuotototeutus;44,00;448,87
Insinööri (AMK), ajoneuvotekniikka, päivätoteutus;77,00;302,59
Insinööri (AMK), bio- ja kemiantekniikka, bio- ja elintarviketekniikka, päivätoteutus;106,00;306,28
Insinööri (AMK), bio- ja kemiantekniikka, puhtaat tuotantoteknologiat, päivätoteutus;45,00;337,50
Insinööri (AMK), energia- ja ympäristötekniikka, päivätoteutus;89,00;346,88
Insinööri (AMK), konetekniikka, päivätoteutus;86,00;316,48
Insinööri (AMK), maanmittaustekniikka, päivätoteutus;109,00;359,38
Insinööri (AMK), Rakennustekniikka, Infrarakentaminen, monimuotototeutus;83,00;338,93
Insinööri (AMK), rakennustekniikka, rakentamisen projektinhallinta ja rakennetekniikka, päivätoteutus;75,00;319,57
Insinööri (AMK), sähkö- ja automaatiotekniikka, monimuotototeutus;82,00;360,68
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus;85,00;376,35
Insinööri (AMK), talotekniikka, päivätoteutus;68,00;333,28
Insinööri (AMK), talotekniikka: kiinteistöjohtaminen, monimuotototeutus;67,00;327,85
Insinööri (AMK), talotekniikka: LVI-suunnittelu, monimuotototeutus;64,00;390,77
Insinööri (AMK), tieto- ja viestintätekniikka, päivätoteutus;85,00;390,00
Insinööri (AMK), tuotantotalous, päivätoteutus;110,00;400,00
Insinööri (ylempi AMK), ajoneuvotekniikka;100,00;100,00
Insinööri (ylempi AMK), julkiset hankinnat;77,00;99,00
Insinööri (ylempi AMK), Rakennustekniikka;70,00;90,00
Insinööri (ylempi AMK), talotekniikka;54,33;84,64
Insinööri (ylempi AMK), älykäs teollisuus;32,00;77,00
Jalkaterapeutti (AMK), jalkaterapia, monimuotototeutus;28,00;371,70
Konservaattori (AMK), konservointi, päivätoteutus;75,00;96,00
Kulttuurialan ylempi AMK-tutkinto, musiikki;95,00;95,00
Kulttuurituottaja (AMK), kulttuurituotanto, päivätoteutus;84,00;98,00
Kulttuurituottaja (ylempi AMK), kulttuurituotanto;74,00;100,00
Kätilö, (AMK), kätilötyö, päivätoteutus;95,00;417,21
Kätilö, (AMK), kätilötyö, päivätoteutus (täydentävä);362,25;396,70
Laboratorioanalyytikko (AMK), laboratorioanalytiikka, päivätoteutus;97,00;334,02
Master of Business Administration, Business Informatics;116,00;150,00
Master of Business Administration, Business Informatics (top-up);60,00;100,00
Master of Business Administration, Health Business Management;63,50;90,50
Master of Business Administration, Procurement, online studies;65,00;97,00
Master of Culture and Arts, Creativity and Arts in Social and Health Fields (CRASH);59,00;68,00
Master of Engineering, Business Informatics;120,00;150,00
Master of Engineering, Computing in Construction;50,00;95,00
Master of Engineering, Health Business Management;44,00;74,00
Master of Engineering, Industrial Management;55,00;95,00
Master of Engineering, Information Technology, Medical Technology;63,17;117,00
Master of Engineering, Information Technology, Networking Services;88,90;108,00
Master of Health Care, Osteopathy, online studies;35,00;40,00
Master of Social Services and/or Health Care, Creativity and Arts in Social and Health Fields (CRASH);60,00;95,00
Master of Social Services and/or Health Care, Development and Leadership of Nursing;52,50;81,50
Master of Social Services and/or Health Care, Health Business Management;49,50;82,50
Master of Social Services and/or Health Care, Health Care Diagnostics, Biomedical Laboratory Services;40,00;86,50
Master of Social Services and/or Health Care, Health Care Diagnostics, Clinical Radiography Services;64,00;64,00
Medianomi (AMK), esitys- ja teatteritekniikka, monimuotototeutus;59,00;88,00
Medianomi (AMK), media ja elokuva, päivätoteutus;77,46;90,26
Medianomi (ylempi AMK), digitaaliset mediapalvelut;92,00;95,00
Medianomi (ylempi AMK), esitys- ja teatteritekniikka;57,00;92,00
Muotoilija (AMK), muotoilu: 3D-animointi ja –visualisointi, päivätoteutus;68,00;100,00
Muotoilija (AMK), muotoilu: digitaalinen muotoilu, päivätoteutus;63,00;99,00
Muotoilija (AMK), muotoilu: Motion Graphics, päivätoteutus;62,00;89,50
Muotoilija (AMK), muotoilu: sisustusarkkitehtuuri, päivätoteutus;66,00;95,00
Muotoilija (AMK), muotoilu: tekstiilisuunnittelu, päivätoteutus;73,00;95,00
Muotoilija (AMK), muotoilu: teollinen muotoilu, päivätoteutus;76,00;99,00
Muotoilija (AMK), muotoilu: visuaalisen viestinnän muotoilu, päivätoteutus;67,67;89,83
Muotoilija (ylempi AMK), muotoilu;79,00;99,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: huilu, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: klarinetti, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: klassinen laulu, päivätoteutus;92,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: klassinen piano, päivätoteutus;93,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: pasuuna, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: pop/jazz-basso ja/tai kontrabasso, päivätoteutus;93,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: pop/jazz-kitara, päivätoteutus;94,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: pop/jazz-laulu, päivätoteutus;93,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: pop/jazz-piano ja/tai sähköiset kosketinsoittimet, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: rummut, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: saksofoni, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: sello, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: trumpetti, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), soiton ja laulunopetus: viulu tai alttoviulu, päivätoteutus;95,00;95,00
Musiikkipedagogi (AMK), varhaisiän musiikkikasvatus ja taiteen soveltava käyttö, päivätoteutus;95,00;95,00
Muusikko (AMK), esittäminen: basso, päivätoteutus;95,00;95,00
Muusikko (AMK), esittäminen: kitara, päivätoteutus;95,00;95,00
Muusikko (AMK), esittäminen: laulu, päivätoteutus;94,00;95,00
Muusikko (AMK), esittäminen: piano ja/tai sähköiset kosketinsoittimet, päivätoteutus;95,00;95,00
Muusikko (AMK), esittäminen: rummut, päivätoteutus;93,00;95,00
Muusikko (AMK), esittäminen: saksofoni, päivätoteutus;94,00;95,00
Muusikko (AMK), musiikin tekeminen ja tuottaminen, päivätoteutus;73,00;87,00
Optometristi (AMK), optometria, päivätoteutus;91,00;429,56
Osteopaatti (AMK), osteopatia, päivätoteutus;95,00;426,57
Rakennusarkkitehti (AMK), rakennusarkkitehtuuri, päivätoteutus;189,00;624,93
Rakennusmestari (AMK), rakennusalan työnjohto, LVI-tekniikka, monimuotototeutus;67,00;275,77
Rakennusmestari (AMK), rakennusalan työnjohto, rakennustekniikka, monimuotototeutus;57,77;181,00
Rakennusmestari (AMK), rakennusalan työnjohto, rakennustekniikka, päivätoteutus;81,00;371,65
Röntgenhoitaja (AMK), radiografia ja sädehoito, monimuotototeutus;87,00;412,71
Röntgenhoitaja (AMK), radiografia ja sädehoito, päivätoteutus;99,00;423,68
Sairaanhoitaja (AMK), sairaanhoitotyö, monimuotototeutus (verkko-opetuspainotteinen);42,00;436,91
Sairaanhoitaja (AMK), sairaanhoitotyö, päivätoteutus;45,00;411,60
Sosiaali- ja terveysala (ylempi AMK), akuuttihoitotyön kehittäminen ja johtaminen;23,00;45,00
Sosiaali- ja terveysala (ylempi AMK), ensihoidon kehittäminen ja johtaminen;23,00;45,50
Sosiaali- ja terveysala (ylempi AMK), hyvinvointijohtaminen kehittyvissä sosiaali- ja terveyspalveluissa;29,00;46,50
Sosiaali- ja terveysala (ylempi AMK), ikääntyneiden palvelujen kehittäminen ja johtaminen;54,00;98,00
Sosiaali- ja terveysala (ylempi AMK), kliininen asiantuntijuus, digitaalisten palvelujen asiantuntija;38,25;45,25
Sosiaali- ja terveysala (ylempi AMK), kätilötyön kehittäminen ja johtaminen;29,50;40,75
Sosiaali- ja terveysala (ylempi AMK), mielenterveystyön kehittäminen ja johtaminen;27,00;41,50
Sosiaali- ja terveysala (ylempi AMK), sosiaaliala;63,00;98,00
Sosiaali- ja terveysala (ylempi AMK), terveyden edistäminen;31,25;44,50
Sosionomi (AMK), sosiaaliala, päivätoteutus;87,00;409,38
Sosionomi (AMK), sosiaaliala, sosiaaliohjaus, monimuotototeutus;98,00;402,19
Sosionomi (AMK), sosiaaliala, sosiaaliohjaus, verkkototeutus;88,00;411,19
Sosionomi (AMK), sosiaaliala, varhaiskasvatus, monimuotototeutus;69,00;380,00
Suuhygienisti (AMK), suun terveydenhuolto, monimuotototeutus;81,00;401,71
Suuhygienisti (AMK), suun terveydenhuolto, päivätoteutus;103,00;401,97
Terveydenhoitaja (AMK), terveydenhoitotyö, päivätoteutus;63,00;399,85
Terveydenhoitaja, (AMK), terveydenhoitotyö, monimuotototeutus (täydentävä);232,11;380,77
Toimintaterapeutti (AMK), toimintaterapia, monimuotototeutus;86,00;436,84
Tradenomi (AMK), liiketalous, monimuotototeutus;143,46;271,65
Tradenomi (AMK), liiketalous, päivätoteutus;98,00;232,35
Tradenomi (AMK), liiketalous, verkkototeutus;123,00;260,00
Tradenomi (ylempi AMK), hyvinvointijohtaminen kehittyvissä sosiaali- ja terveyspalveluissa;23,75;42,00
Tradenomi (ylempi AMK), julkiset hankinnat;78,00;98,00
Tradenomi (ylempi AMK), muutosjohtaminen;75,00;92,00
Vestonomi (AMK), vaatetusala, päivätoteutus;77,50;96,00
Vestonomi (ylempi AMK), vaatetusala;70,00;97,00
Oulun ammattikorkeakoulu;;
Agrologi (AMK), maaseutuelinkeinot, monimuotototeutus;54,00;223,03
Agrologi (AMK), maaseutuelinkeinot, päivätoteutus;57,00;196,00
Agrologi (ylempi AMK), maaseudun kehittäminen;84,00;97,00
Agrologi (ylempi AMK), palveluliiketoiminnan kehittäminen;82,00;82,00
Bachelor of Business Administration, International Business, päivätoteutus;14,15;1 480,00
Bachelor of Engineering, Information Technology, päivätoteutus;15,55;1 490,00
Bachelor of Engineering, Mechanical Engineering, Sustainable Product Development, päivätoteutus;21,40;1 390,00
Bachelor of Health Care, Nursing, päivätoteutus;19,45;72,30
Bioanalyytikko (AMK), Monimuotototeutus;90,00;403,36
Ensihoitaja (AMK), päivätoteutus;130,00;410,19
Fysioterapeutti (AMK), monimuotototeutus;117,00;439,14
Insinööri (AMK), energia- ja ympäristötekniikka, energiatekniikan suuntautumisvaihtoehto, monimuotototeutus;54,00;351,88
Insinööri (AMK), energia- ja ympäristötekniikka, kiertotalouden suuntautumisvaihtoehto, päivätoteutus;66,00;355,72
Insinööri (AMK), konetekniikka, päivätoteutus;73,00;307,59
Insinööri (AMK), rakennus- ja yhdyskuntatekniikka, talonrakennustekniikan suuntautumisvaihtoehto, päivätoteutus;38,00;349,47
Insinööri (AMK), rakennus- ja yhdyskuntatekniikka, yhdyskuntatekniikan suuntautumisvaihtoehto, monimuotototeutus;44,00;303,22
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus;68,00;348,31
Insinööri (AMK), talotekniikka, monimuotototeutus;65,00;353,71
Insinööri (AMK), talotekniikka, päivätoteutus;57,00;227,77
Insinööri (AMK), tieto- ja viestintätekniikka, monimuotototeutus;69,00;348,61
Insinööri (AMK), tieto- ja viestintätekniikka, päivätoteutus;74,00;365,33
Insinööri (ylempi AMK), autoala;50,00;100,00
Insinööri (ylempi AMK), Lean-johtaminen;37,00;88,00
Insinööri (ylempi AMK), palveluliiketoiminnan kehittäminen;25,00;63,00
Insinööri (ylempi AMK), rakennusprojektin tehokas johtaminen;65,00;92,00
Insinööri (ylempi AMK), talotekniikka;40,00;100,00
Insinööri (ylempi AMK), älykäs automaatio ja robotiikka;20,00;95,00
Kulttuurialan ylempi AMK, kulttuurituottaminen ja luova talous;84,00;99,00
Kulttuurialan ylempi AMK, palveluliiketoiminnan kehittäminen;69,00;82,00
Kätilö (AMK), päivätoteutus;128,00;390,47
Master of Business Administration, Data analytics and project management;27,00;90,00
Master of Business Administration, Modern Software and Computing Solutions;22,00;81,00
Master of Culture and Arts, Education Entrepreneurship;30,00;100,00
Master of Engineering, Data analytics and project management;26,67;83,83
Master of Engineering, Modern Software and Computing Solutions;27,83;82,50
Medianomi (AMK), päivätoteutus;50,93;93,50
Musiikkipedagogi (AMK), päivätoteutus;54,50;97,00
Optometristi (AMK), päivätoteutus;121,00;418,71
Rakennusarkkitehti (AMK), päivätoteutus;161,00;624,22
Rakennusmestari (AMK), päivätoteutus;44,00;237,35
Röntgenhoitaja (AMK), monimuotototeutus;95,00;409,26
Sairaanhoitaja (AMK), monimuotototeutus, Oulu;100,00;392,35
Sairaanhoitaja (AMK), päivätoteutus, Oulu;104,00;399,78
Sairaanhoitaja (AMK), verkkopainotteinen monimuotototeutus, Oulainen;83,00;343,54
Sosiaali- ja terveysalan ylempi AMK, akuutti- ja ensihoidon kehittäminen ja johtaminen;65,00;95,00
Sosiaali- ja terveysalan ylempi AMK, hyvinvoinnin digitaaliset ratkaisut;59,00;90,00
Sosiaali- ja terveysalan ylempi AMK, kliininen asiantuntija;20,00;94,00
Sosiaali- ja terveysalan ylempi AMK, palveluliiketoiminnan kehittäminen;83,00;88,00
Sosiaali- ja terveysalan ylempi AMK, uudistava ja hyvinvointia edistävä johtaminen;60,00;95,00
Sosionomi (AMK), monimuotototeutus;100,00;389,85
Sosionomi (AMK), päivätoteutus;103,00;398,79
Suuhygienisti (AMK), päivätoteutus;109,00;400,72
Tanssinopettaja (AMK), päivätoteutus;65,72;85,18
Terveydenhoitaja (AMK), päivätoteutus;121,00;411,48
Terveydenhoitaja (AMK), verkkopainotteinen monimuotototeutus;132,00;394,71
Toimintaterapeutti (AMK), monimuotototeutus;114,00;461,27
Tradenomi (AMK), liiketalous, monimuotototeutus;101,00;255,41
Tradenomi (AMK), liiketalous, päivätoteutus;100,00;257,49
Tradenomi (AMK), tietojenkäsittely, päivätoteutus;75,00;257,59
Tradenomi (AMK), tietojenkäsittely, verkkopainotteinen monimuotototeutus;82,00;263,46
Tradenomi (ylempi AMK), johtaminen ja työhyvinvointi;73,00;84,00
Tradenomi (Ylempi AMK), liiketoiminnan kehittäminen;48,00;82,00
Tradenomi (ylempi AMK), palveluliiketoiminnan kehittäminen;51,00;83,00
Tradenomi (ylempi AMK), taloushallinnon kehittäminen;68,00;100,00
Oulun yliopisto;;
Aineenopettaja, matematiikka tai fysiikka, Matemaattisten tieteiden tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);18,48;29,27
Architecture, Master's Programme in Architecture, Master of Science (Architecture) (2 y);3,25;4,00
Arkkitehtuuri, Arkkitehtuurin tutkinto-ohjelma, tekniikan kandidaatti ja arkkitehti (3v + 2v), DIA-yhteisvalinta;142,33;291,73
Biochemistry, Master’s Programme in Biochemistry, Master of Science (2 y);46,00;68,00
Biokemian tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);51,00;161,20
Biologia, Biologian tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3v + 2v);97,00;165,20
Biomedical Engineering, Master's Programme in Biomedical Engineering, Master of Science (Technology)(2 y);15,00;20,00
Business Analytics, Master's programme in Business Analytics, Master of Science (Economics and Business Administration) (2y);9,00;15,00
Chemistry of Sustainable Processes and Materials, Master’s Programme in Chemistry, Master of Science (2 y);25,00;36,00
Computer Science and Engineering (Digitalisation, Computing and Electronics), Degree Programme in Computer Science and Engineering, Bachelor and Master of Science (Technology) (3 y + 2 y);80,90;1 560,00
Computer Science and Engineering, Master's Programme in Business Analytics, Master of Science (Technology) (2 y);18,76;22,95
Computer Science and Engineering, Master's Programme in Computer Science and Engineering, Master of Science (Technology) (2 y);17,50;24,37
Economics, Master’s programme in Economics, Master of Science (Economics and Business Administration) (2 y);10,00;15,00
Education and Globalisation, Master's Programme in Education, Master of Arts (Education) (2 y);7,25;12,00
Electronics and Communications Engineering (Digitalisation, Computing and Electronics), Degree Programme in Electronics and Communications Engineering, Bachelor and Master of Science (Technology) (3 y + 2 y);52,50;1 550,00
Electronics, Master's Programme in Electronics and Communications Engineering, Master of Science (Technology) (2 y);31,20;38,00
Elektroniikan ja tietoliikennetekniikan tutkinto-ohjelma, tekniikan kandidaatti ja diplomi-insinööri (3v + 2v), DIA-yhteisvalinta;12,50;99,50
Englannin kieli, Kielten ja kirjallisuuden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);25,50;132,40
Environmental Engineering, Master's Programme in Environmental Engineering, Master of Science (Technology) (2 y);29,00;43,00
Epidemiology and Biomedical Data Science, Master's Programme in Epidemiology and Biomedical Data Science, Master of Health Sciences (2 y);27,00;31,00
Erityispedagogiikka, Erityispedagogiikan tutkinto-ohjelma, kasvatustieteen kandidaatti ja maisteri (3v + 2v);75,50;100,00
Finance, Master's Programme in Finance, Master of Science (Economics and Business Administration) (2 y);12,00;15,00
Financial and Management Accounting, Master's Programme in Accounting, Master of Science (Economics and Business Administration) (2 y);8,00;15,00
Fysiikka, Fysikaalisten tieteiden tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3v+2v);1,00;101,70
Geotieteet, Geotieteiden tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);21,00;144,70
Hammaslääketiede, Hammaslääketieteen tutkinto-ohjelma, hammaslääketieteen lisensiaatti (5,5v) (hammaslääketieteen yhteisvalinta);121,00;190,30
Historia ja tieteiden ja aatteiden historia, Historia-, kulttuuri- ja viestintätieteiden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);48,00;140,20
Informaatiotutkimus, Historia-, kulttuuri- ja viestintätieteiden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);29,00;145,10
Information Processing Science (Digitalisation, Computing and Electronics), Degree Programme in Information Processing Science, Bachelor and Master of Science (3 y + 2 y);53,90;1 560,00
Information Processing Science, Master's Programme in Business Analytics, Master of Science (2 y);21,00;25,00
Intercultural Teacher Education, Degree Programme in Teaching and Education, Bachelor and Master of Arts (Education) (3 y + 2 y);7,25;9,50
International Business Management, Degree programme in International Business Management,  Bachelor and Master of Science (Economics and Business Administration) (3 y + 2 y);91,60;1 540,00
International Business Management, Master's Programme in International Business Management, Master of Science (Economics and Business Administration) (2 y);8,00;15,00
Kasvatustiede, Kasvatustieteen tutkinto-ohjelma, kasvatustieteen kandidaatti ja maisteri (3v+2v);7,00;100,30
Kauppatieteet, kauppatieteiden kandidaatti ja maisteri (3v + 2v) (Kauppatieteellisen alan yhteisvalinta);20,92;125,50
Kemia, Kemian tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3v + 2v);43,50;135,00
Konetekniikka, Konetekniikan tutkinto-ohjelma, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;12,00;98,40
Kulttuuriantropologia ja arkeologia, Historia-, kulttuuri- ja viestintätieteiden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);16,25;133,90
Learning, Education and Technology, Master's Programme in Education, Master of Arts (Education) (2 y);5,75;8,00
Logopedia, Logopedian tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);67,90;130,60
Luokanopettaja, Luokanopettajan tutkinto-ohjelma, kasvatustieteen kandidaatti ja maisteri (3v+2v);64,50;99,00
Lääketiede, Lääketieteen tutkinto-ohjelma, lääketieteen lisensiaatti (6v) (lääketieteen yhteisvalinta);135,60;199,00
Lääketieteen tekniikka, Lääketieteen tekniikan tutkinto-ohjelma, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;20,50;105,00
Maantiede, Maantieteen tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3v + 2v);77,00;123,50
Maisterihaku, Arkkitehti, Arkkitehtuurin maisteriohjelma, arkkitehti (2 v);3,67;4,33
Maisterihaku, Biologia, Biologian maisteriohjelma, filosofian maisteri (2 v);8,00;18,00
Maisterihaku, Englannin kieli, Kielten ja kirjallisuuden maisteriohjelma, filosofian maisteri (2v);18,00;20,00
Maisterihaku, Fysiikka, Fysikaalisten tieteiden maisteriohjelma, filosofian maisteri (2 v);16,34;16,34
Maisterihaku, Hoitotiede, Hoitotieteen maisteriohjelma, terveystieteiden maisteri (2 v);14,60;18,60
Maisterihaku, Informaatiotutkimus, Historia-, kulttuuri- ja viestintätieteiden maisteriohjelma, filosofian maisteri (2v);18,00;18,00
Maisterihaku, Kasvatustiede, Kasvatustieteen maisteriohjelma, kasvatustieteen maisteri (2 v);8,00;12,00
Maisterihaku, Kirjallisuus, Kielten ja kirjallisuuden maisteriohjelma, filosofian maisteri (2v);18,00;22,00
Maisterihaku, Konetekniikka, Konetekniikan maisteriohjelma, diplomi-insinööri (2 v);7,67;18,47
Maisterihaku, Kulttuuriantropologia, Historia-, kulttuuri- ja viestintätieteiden maisteriohjelma, filosofian maisteri (2 v);7,00;7,00
Maisterihaku, Laskennallinen biologia ja data-analyysi, Laskennallisen biologian ja data-analyysin maisteriohjelma, filosofian maisteri (2 v);14,10;21,50
Maisterihaku, Laskentatoimi, Laskentatoimen maisteriohjelma, kauppatieteiden maisteri (2 v);10,00;14,50
Maisterihaku, Luokanopettaja, Luokanopettajan maisteriohjelma, kasvatustieteen maisteri (2 v);5,00;5,00
Maisterihaku, Maantiede, Maantieteen maisteriohjelma, filosofian maisteri (2 v);25,00;31,00
Maisterihaku, Matematiikka ja datatiede, Matemaattisten tieteiden maisteriohjelma, filosofian maisteri (2 v);8,00;17,00
Maisterihaku, Musiikkikasvatus, Musiikkikasvatuksen maisteriohjelma, kasvatustieteen maisteri (2 v);65,50;81,00
Maisterihaku, Prosessitekniikka, Prosessitekniikan maisteriohjelma, diplomi-insinööri (2 v);6,67;15,60
Maisterihaku, Rakennus- ja yhdyskuntatekniikka, Rakennus- ja yhdyskuntatekniikan maisteriohjelma, diplomi-insinööri (2 v);9,67;15,00
Maisterihaku, Ruotsin kieli, Kielten ja kirjallisuuden maisteriohjelma, filosofian maisteri (2v);20,00;20,00
Maisterihaku, Saamen kieli, Kielten ja kirjallisuuden maisteriohjelma, filosofian maisteri (2v);7,00;7,00
Maisterihaku, Saksan kieli ja kulttuuri, Kielten ja kirjallisuuden maisteriohjelma, filosofian maisteri (2v);24,00;24,00
Maisterihaku, Suomen kieli, Kielten ja kirjallisuuden maisteriohjelma, filosofian maisteri (2v);9,00;11,00
Maisterihaku, Terveyshallintotiede,Terveyshallintotieteen maisteriohjelma, terveystieteen maisteri (2 v);15,43;17,99
Maisterihaku, Terveystiede, Terveystieteiden opettajan maisteriohjelma, terveystieteiden maisteri (2 v);15,60;18,40
Maisterihaku, Tuotantotalous, Tuotantotalouden maisteriohjelma, diplomi-insinööri (2 v);7,90;9,18
Maisterihaku, Varhaiskasvatuksen erityisopettaja, Erityispedagogiikan maisteriohjelma, kasvatustieteen maisteri (2 v);16,50;20,00
Maisterihaku, Varhaiskasvatus, Varhaiskasvatuksen maisteriohjelma, kasvatustieteen maisteri (2 v);3,50;9,00
Maisterihaku, Ympäristötekniikka, Ympäristötekniikan maisteriohjelma, diplomi-insinööri (2 v);8,00;13,00
Matematiikka ja datatiede, Matemaattisten tieteiden tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);2,00;114,70
Mineral Resources and Sustainable Mining, Master's Programme in Geosciences, Master of Science (2 y);14,00;20,00
Mineral Resources and Sustainable Mining, Master's Programme in Mining Engineering and Mineral Processing, Master of Science (Technology) (2 y);13,00;20,00
Musiikkikasvatus, Musiikkikasvatuksen tutkinto-ohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);49,50;78,50
Oppimistieteet, Oppimistieteiden tutkinto-ohjelma, kasvatustieteen kandidaatti ja maisteri (3 v + 2 v);3,00;109,00
Product and Project Management, Master's Programme in Industrial Engineering and Management, Master of Science (Technology) (2 y);8,25;9,48
Prosessitekniikka, Prosessitekniikan tutkinto-ohjelma, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;5,00;93,00
Psykologia, psykologian tutkinto-ohjelma, psykologian kandidaatti ja maisteri (3v + 2,5v);76,60;143,00
Rakennus- ja yhdyskuntatekniikka, Rakennus- ja yhdyskuntatekniikan tutkinto-ohjelma, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;9,50;98,40
Ruotsin kieli, Kielten ja kirjallisuuden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);21,00;143,90
Saamelainen kulttuuri, Historia-, kulttuuri- ja viestintätieteiden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);21,00;99,30
Saamen kieli, Kielten ja kirjallisuuden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);37,00;118,20
Saksan kieli ja kulttuuri, Kielten ja kirjallisuuden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);23,00;106,30
Software Engineering and Information Systems, Master's Programme in Information Processing Science, Master of Science (2 y);5,00;145,75
Suomen kieli ja kirjallisuudentutkimus, Kielten ja kirjallisuuden tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);32,00;141,50
